"COUNTRY_OR_AREA","COMMODITY_TRANSACTION","YEAR","UNIT","QUANTITY_FOOTNOTES","QUANTITY"
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","null","37"
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","null","43"
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","null","54"
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","null","57"
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","null","84"
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","null","80"
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","null","67"
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","null","64"
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","null","65"
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","null","55"
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","null","30"
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","null","29"
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","null","25"
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","null","27"
"Bahamas","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","null","9.07199954986572"
"Bahamas","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","null","9.7819995880127"
"Bahamas","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","null","8.10000038146973"
"Bahamas","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","null","7.05000019073486"
"Bahamas","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","null","12.5"
